brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
特斯拉,Model Y,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,41110,"[35.49, 24.99]",特斯拉中国,1,中型SUV,纯电动,2024.02,4年或8万公里
比亚迪,海鸥,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/57f96638e8d34ce282039ad70270aa98~tplv-resize:640:0.png,35201,"[8.58, 6.58]",比亚迪,2,小型车,纯电动,2024.08,6年或15万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,25573,"[16.19, 6.98]",东风日产,3,紧凑型车,汽油,2024.01,3年或10万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/657fc6190656454f9cfdb2a4d97b7874~tplv-resize:640:0.png,24348,"[10.89, 6.9]",上汽大众,4,紧凑型车,汽油,2023.09,3年或10万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,23918,"[14.78, 11.98]",比亚迪,5,紧凑型SUV,纯电动,2024.03,6年或15万公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70084ec6188c457d81e000f310d9af9b~tplv-resize:640:0.png,23864,"[27.98, 24.98]",理想汽车,6,中大型SUV,增程式,2024.04,5年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,21951,"[15.48, 9.58]",广汽丰田,7,紧凑型SUV,汽油,2024.07,3年或10万公里
比亚迪,秦PLUS DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,21679,"[12.58, 7.98]",比亚迪,8,紧凑型车,插电式混合动力,2024.02,6年或15万公里
比亚迪,宋PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8cbeac5dfe64f538702a05236429100~tplv-resize:640:0.png,20573,"[17.58, 12.48]",比亚迪,9,紧凑型SUV,插电式混合动力,2024.07,6年或15万公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,19441,"[12.38, 7.98]",比亚迪,10,紧凑型车,插电式混合动力,2024.02,6年或15万公里
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,19440,"[13.59, 9.09]",一汽-大众,11,紧凑型车,汽油,2024.04,3年或10万公里
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,19316,"[13.98, 10.98]",比亚迪,12,紧凑型SUV,插电式混合动力,2024.03,6年或15万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/25d4d4c6e46f4f078d75e768fabd7f0e~tplv-resize:640:0.png,18151,"[33.59, 23.19]",特斯拉中国,13,中型车,纯电动,2024.04,4年或8万公里
比亚迪,秦L DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/433b1c61fd5645379d4a1e83591fa3e1~tplv-resize:640:0.png,18021,"[13.98, 9.98]",比亚迪,14,中型车,插电式混合动力,2024.05,6年或15万公里
AITO,问界M7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3f0218d360774e5482bd7f2bc900d415~tplv-resize:640:0.png,17501,"[32.98, 24.98]",赛力斯汽车,15,中大型SUV,增程式,2023.09,4年或10万公里
